,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
176,6,5,4,4,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,4.61
49,4,4,3,1,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0
121,3,4,8,1,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0,0.0
196,6,5,4,4,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,10.93
330,3,3,9,6,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,6.58
257,4,3,8,6,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.68
200,1,5,9,2,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,11.53
366,4,5,9,2,91.1,132.3,812.1,12.5,15.9,38,5.4,0.0,1.75
10,7,5,9,6,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0
216,4,4,9,7,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,29.48
283,3,4,2,3,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,1.1
248,8,6,8,3,93.1,157.3,666.7,13.5,28.7,28,2.7,0.0,0.0
298,8,6,6,3,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0
90,6,5,8,6,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0
72,5,4,3,5,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,0.0
485,2,4,8,1,95.0,135.5,596.3,21.3,30.6,28,3.6,0.0,2.07
91,8,6,3,5,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0
405,2,2,8,2,94.6,212.1,680.9,9.5,27.9,27,2.2,0.0,0.0
321,1,4,9,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,7.21
198,3,4,9,2,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24
501,7,5,8,2,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0.0
41,4,4,8,6,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0
90,6,5,8,6,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,0.0
178,2,5,9,3,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88
91,8,6,3,5,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,0.0
344,6,3,9,1,91.5,130.1,807.1,7.5,12.2,66,4.9,0.0,6.1
169,8,6,8,4,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,2.55
27,7,4,9,1,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0
340,2,5,9,1,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,3.93
74,5,4,9,5,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,0.0
271,8,6,8,2,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,9.27
